Subject Run n_TRs
6063 1 177
6063 2 178
6063 3 178
6063 4 178
6063 5 178
6020 1 109
6020 2 110
6020 3 110
6020 4 110
6020 5 110
6046 1 126
6046 2 126
6046 3 126
6046 4 126
6046 5 126
6049 1 86
6049 2 86
6049 3 86
6049 4 86
6049 5 86
6032 1 224
6032 2 224
6032 3 224
6032 4 151
6032 5 107
6006 1 98
6006 2 98
6006 3 98
6006 4 98
6006 5 98
6038 1 131
6038 2 132
6038 3 132
6038 4 132
6038 5 132
6051 1 171
6051 2 172
6051 3 172
6051 4 172
6051 5 172
6014 1 129
6014 2 130
6014 3 130
6014 4 130
6014 5 130
6003 1 99
6003 2 100
6003 3 100
6003 4 100
6003 5 100
6043 1 150
6043 2 150
6043 3 150
6043 4 150
6043 5 150
6028 1 91
6028 2 92
6028 3 92
6028 4 92
6028 5 92
6009 1 130
6009 2 130
6009 3 130
6009 4 130
6009 5 130
6018 1 133
6018 2 134
6018 3 134
6018 4 134
6018 5 134
6011 1 134
6011 2 134
6011 3 134
6011 4 134
6011 5 134
6059 1 170
6059 2 170
6059 3 170
6059 4 170
6059 5 170
