Subject	run	scanner_start_time
6059	1	2986197
6059	2	3377719
6059	3	3769275
6059	4	4151231
6059	5	4534961
6011	1	6780568
6011	2	7116195
6011	3	7469573
6011	4	7785650
6011	5	8107212
6018	1	926600
6018	2	1236614
6018	3	1546276
6018	4	1852069
6018	5	2159955
6009
	1	1222160
6009	2	1616333
6009	3	1945981
6009	4	2251938
6009	5	2558431
6043	1	1428874
6043	2	1793733
6043	3	2156370
6043	4	2503582
6043	5	2873969
6003	1	1433260
6003	2	1715217
6003	3	1993268
6003	4	2237564
6003	5	2487181
6014	1	773300
6014	2	1170372
6014	3	1481202
6014	4	1797437
6014	5	2104235
6051	1	6253805
6051	2	6643402
6051	3	7031377
6051	4	7413237
6051	5	7809234
6038	1	1166799
6038	2	1479917
6038	3	1817666
6038	4	2131586
6038	5	2466867
6006	1	1095275
6006	2	1355323
6006	3	1647782
6006	4	1959796
6006	5	2220294
6049	1	1232765
6049	2	1467656
6049	3	1707767
6049	4	1931793
6049	5	2170094
6046	1	7116031
6046	2	7441651
6046	3	7769025
6046	4	8107957
6046	5	8457012
6063	1	981510
6063	2	1412088
6063	3	1826667
6063	4	2227317
6063	5	2624148
6020	1	1362785
6020	2	1635437
6020	3	1911503
6020	4	2187922
6020	5	2457134
6028	1	10281501
6028	2	10526388
6028	3	10775106
6028	4	11010578
6028	5	11246543
6032	1	1159305
6032	2	1688205
6032	3	2164816
6032	4	2640848
6032	5	3036019
